A,B,"C1(A,B)","C2(A,B)","C3(A,B)","C4(A,B)","C5(A,B)","C6(A,B)","C7(A,B)","C8(A,B)","C9(A,B)","C10(A,B)"
b.txt,b.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b.txt,c.txt,0.32075471698113206,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b.txt,f.txt,0.5909090909090909,0.3225806451612903,0.2127659574468085,0.16483516483516483,0.12790697674418605,0.09876543209876543,0.06578947368421052,0.028169014084507043,0.015151515151515152,0.0
b.txt,g.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b.txt,h.txt,0.3584905660377358,0.09375,0.06451612903225806,0.05172413793103448,0.037037037037037035,0.02,0.0,0.0,0.0,0.0
b.txt,k.txt,0.3888888888888889,0.11940298507462686,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
b.txt,p.txt,0.46,0.15853658536585366,0.08235294117647059,0.04878048780487805,0.038461538461538464,0.02702702702702703,0.014285714285714285,0.0,0.0,0.0
b.txt,y.txt,0.38461538461538464,0.10144927536231885,0.028169014084507043,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
b.txt,z.txt,0.4,0.17543859649122806,0.09259259259259259,0.0784313725490196,0.0625,0.044444444444444446,0.023809523809523808,0.0,0.0,0.0
c.txt,b.txt,0.2982456140350877,0.022988505747126436,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,c.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
c.txt,f.txt,0.21212121212121213,0.021505376344086023,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,g.txt,0.2982456140350877,0.022988505747126436,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,h.txt,0.33962264150943394,0.078125,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,k.txt,0.3888888888888889,0.08955223880597014,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,p.txt,0.36,0.07317073170731707,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,y.txt,0.3076923076923077,0.07246376811594203,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c.txt,z.txt,0.37777777777777777,0.03508771929824561,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f.txt,b.txt,0.6842105263157895,0.3448275862068966,0.23255813953488372,0.17857142857142858,0.13580246913580246,0.10526315789473684,0.07042253521126761,0.03076923076923077,0.01694915254237288,0.0
f.txt,c.txt,0.2641509433962264,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f.txt,f.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f.txt,g.txt,0.6842105263157895,0.3448275862068966,0.23255813953488372,0.17857142857142858,0.13580246913580246,0.10526315789473684,0.07042253521126761,0.03076923076923077,0.01694915254237288,0.0
f.txt,h.txt,0.39622641509433965,0.09375,0.06451612903225806,0.05172413793103448,0.037037037037037035,0.02,0.0,0.0,0.0,0.0
f.txt,k.txt,0.3148148148148148,0.07462686567164178,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
f.txt,p.txt,0.52,0.24390243902439024,0.2,0.17073170731707318,0.15384615384615385,0.13513513513513514,0.12857142857142856,0.12121212121212122,0.11290322580645161,0.10344827586206896
f.txt,y.txt,0.34615384615384615,0.08695652173913043,0.028169014084507043,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
f.txt,z.txt,0.35555555555555557,0.19298245614035087,0.12962962962962962,0.09803921568627451,0.08333333333333333,0.06666666666666667,0.047619047619047616,0.02564102564102564,0.0,0.0
g.txt,b.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
g.txt,c.txt,0.32075471698113206,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g.txt,f.txt,0.5909090909090909,0.3225806451612903,0.2127659574468085,0.16483516483516483,0.12790697674418605,0.09876543209876543,0.06578947368421052,0.028169014084507043,0.015151515151515152,0.0
g.txt,g.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
g.txt,h.txt,0.3584905660377358,0.09375,0.06451612903225806,0.05172413793103448,0.037037037037037035,0.02,0.0,0.0,0.0,0.0
g.txt,k.txt,0.3888888888888889,0.11940298507462686,0.030303030303030304,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
g.txt,p.txt,0.46,0.15853658536585366,0.08235294117647059,0.04878048780487805,0.038461538461538464,0.02702702702702703,0.014285714285714285,0.0,0.0,0.0
